from_user,to_user,message,timestamp
山田太郎,田中花子,こんにちは、はじめまして！,2025-07-29 17:00:11
田中花子,山田太郎,よろしくお願いします！,2025-07-29 17:01:21
佐藤健,山田太郎,プログラミングの質問です,2025-07-29 17:10:34
山田太郎,佐藤健,OKです、どうぞ！,2025-07-29 17:11:09
山田太郎,松本亮,こんにちは,2025-07-29T20:37:08.331196
山田太郎,中村大輔,こんにちは,2025-07-29T20:43:45.443497
山田太郎,鈴木一郎,こんにちは,2025-07-29T20:49:00.835696
鈴木一郎,山田太郎,こんにちは、お願いします,2025-07-29T20:52:01.461169
山田太郎,鈴木一郎,始めまして。数学が分からないです,2025-07-29T20:52:41.688394
アンドレス,山田太郎,始めまして。こんにちは。数学を教えてほしいです。,2025-07-29T21:21:59.172951
アンドレス,山田太郎,お願いします,2025-07-29T21:30:07.842971
山田太郎,長谷川渉,こんにちは。初めまして。数学を教えてほしいです。,2025-07-29T21:56:45.221068
山田太郎,松本亮,数学を教えてください,2025-07-29T21:57:27.761955
松本亮,山田太郎,いいですよ。,2025-07-29T21:57:52.519302
松本亮,山田太郎,何が分かりませんか,2025-07-29T21:57:56.866037
山田太郎,松本亮,お願いします,2025-07-30T10:05:48.104695
はなこ,山田太郎,こんにちは、数学を教えてください,2025-07-30T10:51:57.971376
山田太郎,（送信先不明）,こんにちは、はなこさん,2025-07-30T11:00:30.340856
山田太郎,（送信先不明）,はなこさんこんにちは,2025-07-30T11:03:19.205896
山田太郎,はなこ,いいですよ。何が分かりませんか？？,2025-07-30T11:05:21.785771
はなこ,山田太郎,因数分解が分かりません,2025-07-30T11:05:47.214689
山田太郎,鈴木一郎,すみません。今度は英語を教えてください,2025-07-30T11:12:52.887637
鈴木一郎,山田太郎,分かりました。いいですよ。英語の何が分かりませんか,2025-07-30T11:13:40.752744
山田太郎,松本亮,教えてください,2025-07-30T13:06:44.667542
